text,author_id,id,source,lang,created_at,sentiment
RT @TirthaRichard: Memelihara kucing itu tidak gampang tapi dengan jaringan indihome yang lancar dirumah membuat saya lebih mudah streaming…,1301709524949065730,1386910769996984320,Twitter for iPhone,in,2021-04-27T05:11:09.000Z,positif
@TirthaRichard Streaming pakai indihome gak perlu khawatir masalah kuota.indihome keren😎,1301709524949065730,1386911023299399683,Twitter for iPhone,in,2021-04-27T05:12:10.000Z,positif
"indihome udh sejam ttp aja ga bisa dah 🙂
indikator lampu los kedip merah terus pdahal klo ada masalah di kabel ga di apa apain dr kapan tau :)
ayo dong indihome pls koneksi nya di benerin @IndiHome",1134788133805993984,1386912358602141702,Twitter for Android,in,2021-04-27T05:17:28.000Z,negatif
indihome memang sangat menguji kesabaran,1109308423990960128,1386916016639266822,Twitter for iPhone,in,2021-04-27T05:32:00.000Z,negatif
"Dear @IndiHomeCare kenapa Indihome koneksinya sangat lambat digunakan untuk videocall atau zoom meeting, apalagi kalau dalam satu ruangan digunakan beberapa orang secara bersamaan. Padahal saya berlangganan paket internet yang 30 mbps. Please fix it as soon as possible, thanks.",384400816,1386919119329497091,Twitter for Mac,in,2021-04-27T05:44:20.000Z,negatif
@TirthaRichard keren ya..kucingnya jdi lebih cakep deh  berkat nonton tutorial merawat kucing pake jaringan indihome ✨,214848497,1386929152339574785,Twitter for iPhone,in,2021-04-27T06:24:12.000Z,positif
@IndiHome ini wifi nya ko connect no internet ya??.. bukan satu hp saja tapi satu kantor begini semua,1066321115046338562,1386934040083582976,Twitter for Android,in,2021-04-27T06:43:37.000Z,negatif
"Asik sekali pulang kantor langsung nonton iflix pake jaringan indihome , yang sangat kencang dan stabil , jadi ngak takut untuk loading. Indihome memang juara lah🥳🥰 https://t.co/OMkIqilcRx",1367446813729452035,1386936979439329281,Twitter for iPhone,in,2021-04-27T06:55:18.000Z,positif
"Sambil nunggu dijemput kita nonton dulu drakor yang lagi On going, dengan jaringan Indihome yang super lancar pastinya.. 😄😄 https://t.co/iZOrTbmwMp",177122319,1386937474987876353,Twitter for Android,in,2021-04-27T06:57:16.000Z,positif
@musdalifah551 nonton iflix pake indihome sambil nunggu bedug.. mantap,214848497,1386938353551953921,Twitter for iPhone,in,2021-04-27T07:00:46.000Z,positif
@musdalifah551 Indihome terbaik ya kak 🤩,927107011,1386940763783630848,Twitter for iPhone,in,2021-04-27T07:10:20.000Z,positif
"@kdy_young Wahh Kak Shafi, Tifa senang banget layanan IndiHome sudah bisa kembali normal. Oh ya Kak bisa juga sampaikan apresiasinya dimention/feed jangan lupa juga pake hastag #pastiberes :) -Tifa",765035200896118789,1386947671634497536,Sociomedio Pro Webhook,in,2021-04-27T07:37:47.000Z,positif
@musdalifah551 ngabuburit lancaar pake indihome yaa,2337747270,1386951452917043205,Twitter Web App,in,2021-04-27T07:52:49.000Z,positif
@musdalifah551 Indihome memang kerennn❣️,1245490861908971521,1386978562884849667,Twitter for iPhone,in,2021-04-27T09:40:32.000Z,positif
@musdalifah551 Indihome jagonya streaming,1925967332,1386989935996047360,Twitter for iPhone,in,2021-04-27T10:25:44.000Z,positif
Indihome kedip merah pon kenapa..@IndiHome,1010408467,1386995256688668673,Twitter for Android,in,2021-04-27T10:46:52.000Z,negatif
"@musdalifah551 Nonton makin asyik dong berkat Indihome
Juara pokoknya..",1366578692852391938,1386998731099185154,Twitter for Android,in,2021-04-27T11:00:41.000Z,positif
@musdalifah551 apalagi kalau nontonya pake indihome nggak lelet,1366075064211316741,1387022853438992391,Twitter for Android,in,2021-04-27T12:36:32.000Z,positif
"indihome kalo buat tugas deadline lemot, giliran hari-hari biasanya gua gabut nonton film malah lancar. 

emang ditakdirkan untuk menjadi kaum rebahan",1082632822211235840,1387025644295397376,Twitter Web App,in,2021-04-27T12:47:37.000Z,positif
@musdalifah551 Sejuara itu sih memang indihome selalu jadi andalan ❤️,1218535461401939970,1387028512796594179,Twitter for iPhone,in,2021-04-27T12:59:01.000Z,positif
"Nonton streaming gusmiftah lancar banget tanpa kendala ..terimakasih Indihome

#MajuTerusBersamaIndihome
#InternetnyaIndonesia
#IndihomeMbois https://t.co/u8NBSV7JXa",1384499087941062662,1387044664360902660,Twitter for Android,in,2021-04-27T14:03:12.000Z,positif
"@IndiHomeCare @IndiHome Udah min daritadi dicoba
Direstart juga udah
Lampo LOS nya ttp kedip merah",1333099381,1387046845726167042,Twitter for Android,in,2021-04-27T14:11:52.000Z,negatif
"Masih harus berjauhan dgn yg tersayang. Gk usah terlalu sedih ya. Karena pastinya masih bisa menjalin silaturahmi dgn teman&amp; keluarga selama bulan puasa ini dgn cara video call bareng mereka pakai Indihome
#MajuTerusBersamaIndiHome #InternetnyaIndonedia #IndiHomeMbois
#puasa https://t.co/OEZRitVmir",1023542762,1387050887097454598,Twitter for Android,in,2021-04-27T14:27:56.000Z,positif
"@kesokye Iya sama, indihome Mimin juga baik banget",1375808161425227785,1387052703667261451,Twitter for Android,in,2021-04-27T14:35:09.000Z,positif
"@indihome tolong ini internetnya nyala tapi gaada koneksi udah dari kemaren, daerah bekasi barat

dm saya sebelum kesulut emosi.",258236113,1387076324095791105,Twitter for iPhone,in,2021-04-27T16:09:00.000Z,negatif
Indihome nomer satuu emang @IndiHome,1384466119780487172,1387085840690466818,Twitter for iPhone,in,2021-04-27T16:46:49.000Z,positif
"@IndiHomeCare Sudah ditangani dengan baik pada hari selasa kemarin, terimakasih indihome. :)",346666966,1387096468947832839,Twitter for Android,in,2021-04-27T17:29:03.000Z,positif
indihome indie cepatnya 🙌🙌😁😃,933989542545080321,1387124540006825985,Twitter Web App,in,2021-04-27T19:20:36.000Z,positif
Wow kencang sekali koneksinya @IndiHome https://t.co/xsSdXx3erx,757297825,1387133757086306305,Twitter for iPhone,in,2021-04-27T19:57:14.000Z,positif
heran Indihome lemot mulu abis ujan,1188495144477020161,1387155256065200128,Twitter for Android,in,2021-04-27T21:22:39.000Z,negatif
Indihome pagi pagi kenceng juga halo indihome,1177001912245215233,1387170518495686656,Twitter for Android,in,2021-04-27T22:23:18.000Z,positif
indihome kenceng bgt 🐌🐌🐌,1381152812,1387170570534473730,Twitter for iPhone,in,2021-04-27T22:23:31.000Z,positif
@hamkajusuf Indihome memang keren 😊👍,2793167426,1387233681417269250,Twitter for Android,in,2021-04-28T02:34:17.000Z,positif
@hamkajusuf Mantap banget indihome 👍🏻👍🏻🥳,1366901599998631944,1387233742519902209,Twitter for iPhone,in,2021-04-28T02:34:32.000Z,positif
"@hamkajusuf Saya banget nih, untung pakai @IndiHome jd pulang kerja tinggal nyalakan Usee TV lalu pilih the film yg sudah terputar sebelumnya 🥰🥰",4169763258,1387234059403763714,Twitter for Android,in,2021-04-28T02:35:47.000Z,positif
"@hamkajusuf Kesenengannya anak-anak nih, makanya sy jg pake Indihome dirumah, jaringan internetnya lancar dan Tvnya jg banyak siaran hiburan u/ anak-anak .. The best lah pokoknya 😊😊",177122319,1387235608267923456,Twitter for Android,in,2021-04-28T02:41:57.000Z,positif
"@hamkajusuf Indihome beri 1 kemudahan lagi nih, buat anak 🤩
Indihome memang punya banyak nilai plus",975110088,1387241786251243523,Twitter for Android,in,2021-04-28T03:06:30.000Z,positif
ngga salah pilih provider @indihome❤️ https://t.co/qAjmlLkQau,1382567346217250816,1387245011977216002,Twitter for Android,in,2021-04-28T03:19:19.000Z,positif
"@IndiHome
INDIHOME MEMANG TERBAIK.",1095113350994776064,1387268427362885633,Twitter for Android,in,2021-04-28T04:52:21.000Z,positif
@hamkajusuf Luar biasa... sekarang apa aja mudah ya kak berkat indihome..,1218535461401939970,1387271399899758594,Twitter for iPhone,in,2021-04-28T05:04:10.000Z,positif
Hello @IndiHome error nich,1333015542,1387284751887732739,Twitter for iPhone,de,2021-04-28T05:57:14.000Z,negatif
Error lagi dong indihome 🙃,1137806436627390464,1387288702418702338,Twitter for Android,in,2021-04-28T06:12:55.000Z,negatif
"@meijiclaudyaa apa lagi jaringannya yang super"" lancar keren indihome 😍",1223319352851582983,1387289183090143237,Twitter for iPhone,in,2021-04-28T06:14:50.000Z,positif
"@meijiclaudyaa Wahh emang seru banget, apalagi nontonnya pake jaringan indihome anti ngelag 🤩",189106681,1387290426516774917,Twitter for Android,in,2021-04-28T06:19:46.000Z,positif
@meijiclaudyaa Mantul kak 🤩 Indihome keren,927107011,1387292286891945986,Twitter for iPhone,in,2021-04-28T06:27:10.000Z,positif
"@hamkajusuf indihome cocok di semua umur, mantapp bgt👍",2337747270,1387302792927137794,Twitter Web App,in,2021-04-28T07:08:55.000Z,positif
Gue doain INDIHOME BERKAH SELALU,1151441616629932033,1387304455981330435,Twitter for iPhone,in,2021-04-28T07:15:31.000Z,positif
"@meijiclaudyaa Wihh , kenceng banget jaringan indihome 🥳🥳",1366901599998631944,1387308492508209157,Twitter for iPhone,in,2021-04-28T07:31:34.000Z,positif
@hamkajusuf Prodak indihome emang memudahkan buat segala kalangan sii . Indihome the best,237203714,1387309878641774592,Twitter for iPhone,in,2021-04-28T07:37:04.000Z,positif
@meijiclaudyaa Indihome emang terbaik🥰,237203714,1387310125111676935,Twitter for iPhone,in,2021-04-28T07:38:03.000Z,positif
Indihome astagaaa....udah 4hari LOS mulu. Ogah bayar dah lama2 🤦🤦,550166536,1387325032582377476,Twitter for Android,in,2021-04-28T08:37:17.000Z,negatif
@meijiclaudyaa No buffering.. indihome paling oke😎,214848497,1387329530767941633,Twitter for iPhone,tl,2021-04-28T08:55:10.000Z,positif
@meijiclaudyaa Wahh makin semangat nontonnya pake jaringan indihome☺️😍,1245490861908971521,1387330738123513856,Twitter for iPhone,in,2021-04-28T08:59:57.000Z,positif
RT @WwTrisari: Hmmmm. Masih pagi nih. Nonton apa yah? Pake Indihome bisa nonton apa aja soalnya jaringannya stabil dan kenceeeeng 😎 https:/…,1925967332,1387330890527739905,Twitter for iPhone,in,2021-04-28T09:00:34.000Z,positif
@meijiclaudyaa Jaringan indihome mmg ngacir kak,238442163,1387337743886290945,Twitter for Android,in,2021-04-28T09:27:48.000Z,positif
"Indihome baru nyala setelah mati 5 jam, nice job",793035206621925376,1387347908094140416,Twitter for Android,in,2021-04-28T10:08:11.000Z,positif
tumben indihome kenceng,1260069004577665024,1387364969767792645,Twitter for Android,tl,2021-04-28T11:15:59.000Z,positif
indihome lemot bgt anjir klo ujan gede kya gini,1143128354100396033,1387373911612944384,Twitter for Android,in,2021-04-28T11:51:31.000Z,negatif
indihome tae tiap ujan pasti lemot,1168712441150107648,1387375079021969413,Twitter for Android,in,2021-04-28T11:56:09.000Z,negatif
Makin lemot aja indihome klo ujan,1365024156845174784,1387377816082161664,Twitter for Android,in,2021-04-28T12:07:02.000Z,negatif
indihome gua baru bisa setelah empat jam 😭,1308791629688438786,1387381991176167426,Twitter for iPhone,in,2021-04-28T12:23:37.000Z,positif
Hidup akan damai ketika indihome tidak lemot,1588669658,1387385421772967941,Twitter for iPhone,in,2021-04-28T12:37:15.000Z,positif
@hamkajusuf Indihome memang mantap,1925967332,1387387661455806465,Twitter for iPhone,in,2021-04-28T12:46:09.000Z,positif
Ini Indihome seharian ngeselin bngt anjr,818264518706925568,1387390471845023749,Twitter for Android,in,2021-04-28T12:57:19.000Z,negatif
@meijiclaudyaa indihome juaraaaa💖,1379193752254771200,1387391724998127622,Twitter for iPhone,tl,2021-04-28T13:02:18.000Z,positif
"wondering kok indihome lemot, oh ternyata akhir bulan",1862657394,1387393799601623046,Twitter for Android,in,2021-04-28T13:10:33.000Z,negatif
Tq Indihome.. @IndiHomeCare Bbrp kali laporan selalu ditangani dengan cepat. Bisa karaokean lagi akhir nya #PastiBeres,42575636,1387403028035039239,Twitter for Android,in,2021-04-28T13:47:13.000Z,positif
indihome ngajak berantem,1115888634027229184,1387406583273951240,Twitter for Android,in,2021-04-28T14:01:20.000Z,negatif
Indihome lelet amat.,2959271222,1387410690026078212,Twitter for Android,et,2021-04-28T14:17:40.000Z,negatif
"@hamkajusuf Wahh mantep tu kak, indihome emag tbe best 👍🏻",1230140549455175681,1387419961451110402,Twitter for iPhone,tl,2021-04-28T14:54:30.000Z,positif
@meijiclaudyaa Woww itu film apa kak ?? Kaya seru 🧐  mantap ya kak pakai indihome jaringannya lancar teross 👍🏻,1230140549455175681,1387420340511408131,Twitter for iPhone,in,2021-04-28T14:56:00.000Z,positif
indihome kumat,951785286614298624,1387456179689844740,Twitter for Android,et,2021-04-28T17:18:25.000Z,negatif
Dear @indihome kenapa ini internet nya tiba tiba mati?? Tersambung tapi tidak ada internetnya...,94002931,1387462413935464451,Twitter for Android,in,2021-04-28T17:43:11.000Z,negatif
"Lampu internet pada modem indihome saya tiba mati, mohon bantuan @IndiHome 
Mudah2an responnya cepat.",1371916891,1387474212319764480,Twitter for Android,in,2021-04-28T18:30:04.000Z,negatif
Seneng nya pake indihome @IndiHomeCare @IndiHome,1384466119780487172,1387490487850868738,Twitter for iPhone,in,2021-04-28T19:34:45.000Z,positif
"@kvirari Aku indihome aman aman aja, tapi di akhir bulan lemot, karna batas pemakain data indihome dikit banget, jadi kalau uda melebihi batas jadi agak di tapi ga terlalu lag sih",1236477919003734016,1387553590101745664,Twitter for Android,in,2021-04-28T23:45:30.000Z,positif
"Finally, Indihome ku udah kayak dulu lagi.. 
Kalau buat nonton youtube bisa sampai kualitas 1080 lagi..",1014771686317539328,1387564935303942144,Twitter for Android,in,2021-04-29T00:30:34.000Z,positif
Hadeeee.. indihome lagi LOS 🥲,103864370,1387585790692118528,Twitter for iPhone,et,2021-04-29T01:53:27.000Z,negatif
hari-hari indihome los.,235018100,1387603256663101441,Twitter for iPhone,in,2021-04-29T03:02:51.000Z,negatif
makasih indihome aku syg kamu /j https://t.co/IsN9unTGd7,1380815244092612609,1387625589499043842,Twitter Web App,in,2021-04-29T04:31:36.000Z,positif
Wuhuuuuu promo berkah😋🤑 https://t.co/RucwvaZc1y,1278289449185538048,1387633590943453190,Twitter for Android,in,2021-04-29T05:03:23.000Z,positif
"Promo terus, promo lagii🤗 https://t.co/0I9uTc6fdM",1332959306249949184,1387638152542576647,Twitter Web App,in,2021-04-29T05:21:31.000Z,positif
@magfirasri Alhamdulilah 😇 semua terbantu krna ada indihome smart ya kak,927107011,1387639300271927297,Twitter for iPhone,in,2021-04-29T05:26:04.000Z,positif
@magfirasri Belajar bareng indihome nih kak ❤️🤩 semua jadi mudah,975110088,1387640732610007040,Twitter for Android,in,2021-04-29T05:31:46.000Z,positif
@magfirasri Jaringan indihome mmg lancar kak 🥳,238442163,1387641472938233856,Twitter for Android,in,2021-04-29T05:34:42.000Z,positif
"Tetangga ada yang jadi sales IndiHome, hari ini daftar, eeh hari ini juga kepasang.. Luar biasa..😍😍😍😍

#MajuTerusBersamaIndiHome #InternetnyaIndonesia #IndiHomeMbois https://t.co/oRE9mpm4NO",1382659589095661572,1387647298306396162,Twitter Web App,in,2021-04-29T05:57:51.000Z,positif
"Tugas mami malam ini, ngirim file kerjaan sambil nemenin si kakak nonton kartun kesayangannya.. Untung dirumah kita pake Indihome, jaringan Internet lancar tanpa hambatan, TV nya banyak pilihan tontonan anak-anak.. The best lah pokoknya 😄😊 https://t.co/aoLTdbb5zN",177122319,1387649411052761090,Twitter for Android,in,2021-04-29T06:06:15.000Z,positif
"@Deardiaby Kerjaan mommy aman, tontonan anak juga aman. Semua berkat indihome terrr the best 🤩",975110088,1387650119500066816,Twitter for Android,in,2021-04-29T06:09:04.000Z,positif
@Deardiaby Tanpa lag lag tentunya dong. Indihome emang internya indonesia sii the best lah pokoknya,237203714,1387650155634061316,Twitter for iPhone,in,2021-04-29T06:09:13.000Z,positif
pas banget eug pindah ke indihome https://t.co/KbhValgEiv,1279837417,1387650323439702019,Twitter for Android,in,2021-04-29T06:09:53.000Z,positif
@Deardiaby Bener banget ini.. indihome memang jagonya soal jaringan,1218535461401939970,1387651784563253248,Twitter for iPhone,in,2021-04-29T06:15:41.000Z,positif
"@Deardiaby Senang banget y kk, tdk perlu takut kalau ada pekerjaan pd malam hr, gunakan  @IndiHome semua jd lancar",4169763258,1387653042116333571,Twitter for Android,in,2021-04-29T06:20:41.000Z,positif
@magfirasri Mantap kak semua bisa lebih mudah berkat Indihome...,1366578692852391938,1387653672281153540,Twitter for Android,in,2021-04-29T06:23:11.000Z,positif
mbak cs indihome maksa bgt ya nawarin upgrade channel tv,1082529570383790080,1387654717463957508,Twitter for Android,in,2021-04-29T06:27:20.000Z,negatif
"@Deardiaby Kerjaan jadi lebih mudah kakak yah, Indihome memang the bestlah jaringan super kencang dan stabil
Indihome kereennn",1366578692852391938,1387654778071621641,Twitter for Android,in,2021-04-29T06:27:35.000Z,positif
"@citrachergias @telkomkti Semangat kaka puasanya, untung ada Indihome yg menemani 
Mantapp 😁👍",1366578692852391938,1387655364556910593,Twitter for Android,in,2021-04-29T06:29:54.000Z,positif
@citrachergias @telkomkti Indihome kerenn,1925967332,1387655464473686017,Twitter for iPhone,et,2021-04-29T06:30:18.000Z,positif
Terimakasih WIFI INDIHOME telah memberikan solusi terbaik bagi ku dan sahabat indihome https://t.co/YczaetZbPh,1257062402874470400,1387659158585888768,Twitter for Android,in,2021-04-29T06:44:59.000Z,positif
@CNNIndonesia Biji lah. Indihome aja lu berantakan tambah mau urus ini.,1230038515414708225,1387663277073653769,Twitter for iPhone,in,2021-04-29T07:01:21.000Z,negatif
"Merintis membuat konten Youtube terasa lebih bersemangat karena didukung speed yang kencang dan stabil dari IndiHome

#MajuTerusBersamaIndiHome
#InternetnyaIndonesia
#IndiHomeMbois
#indilounge
#aktivitastanpabatas https://t.co/T6YA54gcse",2296246224,1387664328317300743,Twitter for Android,in,2021-04-29T07:05:32.000Z,positif
Termantep se indonesia😍 https://t.co/UHscRqbB0G,1186103319325884417,1387670530854031360,Twitter for Android,in,2021-04-29T07:30:10.000Z,positif
indihome gangguan gak si?,1160607102953381888,1387674601149198340,Twitter for Android,in,2021-04-29T07:46:21.000Z,negatif
Bonus apaaa iniiii🤩 https://t.co/iJ3TdcMOcx,1377491062915145731,1387676512124497928,Twitter for Android,in,2021-04-29T07:53:56.000Z,positif
"Indihome hebat ya, film 2 jam bisa jadi 3 jam 🙄",1285412340087713792,1387678129917890560,Twitter for Android,in,2021-04-29T08:00:22.000Z,positif
@citrachergias @telkomkti banyak banget kegiatan positif dari IndiHome selama ramadan 🤩🤩,1335909738,1387680094357917696,Twitter Web App,in,2021-04-29T08:08:11.000Z,positif
"Panas, panas, puasa haus, istirahat kerja daripada halu, ketiduran dimarain boss, mending nonton Iflix di IndiHome daah...
#MajuTerusBersamaIndiHome
#InternetnyaIndonesia
#IndiHomeMbois https://t.co/TGezNeUYMU",1341348392333500416,1387680376160616448,Twitter for Android,in,2021-04-29T08:09:18.000Z,positif
@WatchmenID Indihome bisa akses netflix aku bahagia,1161542943779504128,1387681049153396742,Twitter for Android,in,2021-04-29T08:11:58.000Z,positif
@magfirasri indihome pake saat zoom pun tetap lancarr,1366075064211316741,1387681331283300362,Twitter for Android,in,2021-04-29T08:13:05.000Z,positif
Eh keterlaluan bagusnya sih ini promo🙆‍♀️ https://t.co/6UdbCHQTDs,1334799726772797440,1387682957918236672,Twitter for Android,in,2021-04-29T08:19:33.000Z,positif
@Deardiaby Wahh memang indihome gaada duanyaaaa❤️,1245490861908971521,1387684834948960257,Twitter for iPhone,in,2021-04-29T08:27:01.000Z,positif
bener bener ni indihome,980437977565245440,1387685461917802497,Twitter for Android,in,2021-04-29T08:29:30.000Z,positif
"Dear #indihome mas/mba tolong atuh ini udh lama wifi saya eror terus, pas nelpon 147 katanya ada gangguan masal dan berakhir tgl 23 april kalo ga salah tapi kok sampe sekarang belum bener juga ?? Saya sudah bayar tagihan juga tapi percuma wifi tidak kita pakai!! Apa ada kebijakan",1183992630629109760,1387686884030095367,Twitter for Android,in,2021-04-29T08:35:09.000Z,negatif
Ya ampooonnnn gratis 58 channel aaaaakkk https://t.co/S1CvDEQ7aX,1327092935955890176,1387690047751655425,Twitter for Android,ht,2021-04-29T08:47:44.000Z,positif
"@citrachergias @telkomkti Soal jaringan, indihome yg utama👍",1370226420459339777,1387697006014078979,Twitter for Android,in,2021-04-29T09:15:23.000Z,positif
@IndiHome kenapa sih hari ini lemot banget mau kerja susah,297934148,1387701270090297347,Twitter for iPhone,in,2021-04-29T09:32:19.000Z,negatif
"Semenjak berlangganan IndiHome, yang biasanya keluargaku tidak pernah ekspresif, sekarang jadi hobi nyanyi pakai Karaoke On Demand. 

#MajuTerusBersamaIndiHome
#InternetnyaIndonesia
#IndiHomeMbois",1144062804330078208,1387703138635890688,Twitter Web App,in,2021-04-29T09:39:45.000Z,positif
BY THE WAY INI INDIHOME DARI KEMARIN ADA MASALAH APA YA,595191206,1387703271062654977,Twitter for iPhone,in,2021-04-29T09:40:16.000Z,negatif
indihome kenapa lambat trs ya padahal udah dibayar????,952524193123282951,1387709433216585732,Twitter for Android,in,2021-04-29T10:04:45.000Z,negatif
Ini gimana eror dr semalem blom bener merah kedip mulu haduuuuh @IndiHomeCare @IndiHome,1387704543694057474,1387710218457337862,Twitter Web App,in,2021-04-29T10:07:53.000Z,negatif
"Bukber akan terasa lebih nyaman adanya INDIHOME jaringannya

#MajuTerusBersamaIndiHome
#InternetnyaIndonesia
#IndiHomeMbois https://t.co/ro8OcbcKKg",1384516089518776332,1387715654954848259,Twitter for Android,in,2021-04-29T10:29:29.000Z,positif
"Mohon bantuannya @IndiHome agar koneksi internet di pancoran mas, depok bisa segera berfungsi kembali. Dari jam 8 pagi hingga sekarang masih belum terkoneksi",181842894,1387715931946708996,Twitter Web App,in,2021-04-29T10:30:35.000Z,negatif
300 menit nelpon gratis tis tis👀 https://t.co/z5CC4Yz2vs,1342136717592051712,1387718803644157953,Twitter for Android,ht,2021-04-29T10:42:00.000Z,positif
Parah gasi @IndiHome kecepatannya gini amat. Dari tadi siang lemot bukan maen https://t.co/tZutA8wDJP,293991921,1387741043299209220,Twitter for iPhone,in,2021-04-29T12:10:22.000Z,negatif
INDIHOME MAKSUD LO BUFFER APAAA??,1034461909888581634,1387741580497350662,Twitter for Android,in,2021-04-29T12:12:30.000Z,negatif
@Deardiaby kerjaan dan jagain anak jadi lebih mudah karena ada indihome 😍,2426961914,1387743081814904833,Twitter for Android,in,2021-04-29T12:18:28.000Z,positif
@peannach indihome pake yg full gaming enak kenceng pake yg 50 atau 100mbps,1256989147786444807,1387745436790714375,Twitter for Android,in,2021-04-29T12:27:49.000Z,positif
@pngfess G kroso disambi Wifian indihome lancar,2471245436,1387746572750921729,Twitter for Android,in,2021-04-29T12:32:20.000Z,positif
@IndiHomeCare kk indihome saya mengalami los jaringan,1247888406106886145,1387758089089298433,Twitter for Android,in,2021-04-29T13:18:06.000Z,negatif
@raku_jingga Penyakin indihome kalo akhir bulan wkwk,440574557,1387758804230627332,Twitter for Android,in,2021-04-29T13:20:56.000Z,negatif
"ini cycle indihome:
1. internet lancar
2. tunggu beberapa hari lgsg kacau
3. lapor
4. repeat
yakin mau pilih indihome? + indihome ada FUP nya. artinya lu mau paket unlimited ada kuota batasan. inet lo bisa di leletin klo udh lewatin FUP nya. biznet, myrepublic ga ada beginian. 😉",1228710055836405760,1387762538369191940,Twitter for Android,in,2021-04-29T13:35:47.000Z,negatif
Indihome sinyalnya lg jelek banget kayaknya,1341717971270418432,1387765467130040320,Twitter for iPhone,in,2021-04-29T13:47:25.000Z,negatif
mau marah sama indihome,1170273926913544192,1387768426609971211,Twitter for Android,in,2021-04-29T13:59:11.000Z,negatif
"Jangankan nonton, scroll twitter aje lambat banget. Hadeh indihome indihome",1377153049597075456,1387768850637336576,Twitter for iPhone,in,2021-04-29T14:00:52.000Z,negatif
@IndiHomeCare @sauspadang Berarti kesimpulannya kecepatan indihome lambat dong ya 😀 thx sudah mengakuinya,121411446,1387768950348464133,Twitter for Android,in,2021-04-29T14:01:15.000Z,negatif
"makin yakin deh langganan indihome, udah cepet, bisa netflix an juga sekarang #ThursdayOnNetflix https://t.co/1GUzbMCBqh",1338084146049024000,1387769724948389896,Twitter Web App,in,2021-04-29T14:04:20.000Z,positif
"@txtdariinvestor Pantes sekarang kenceng buka netflix pake indihome, padahal beberapa bulan yg lalu bandwidth nya di batasi 🤣",1333250468072460288,1387772717676568586,Twitter for iPhone,in,2021-04-29T14:16:14.000Z,positif
Favorit banget kalau drakoran di Netflix pake IndiHome #ThursdayOnNetflix https://t.co/zipTMa51sB,1365310104032043013,1387777846911938568,Twitter for Android,in,2021-04-29T14:36:37.000Z,positif
Ini indihome kenapa sih? Dari siang gak conect mulu? Asem 😬,2334302184,1387778477303160834,Twitter for Android,in,2021-04-29T14:39:07.000Z,negatif
tai indihome lag terusssss,90120615,1387779114598387712,Twitter for Android,in,2021-04-29T14:41:39.000Z,negatif
Uhuy bisa netflixan lancar pake indihome nichh😗 #ThursdayOnNetflix https://t.co/6fiRPaQbKm,1371303202667122688,1387781788202725376,Twitter for Android,sl,2021-04-29T14:52:16.000Z,positif
